run_id,game_date,player_name,team_abbreviation,matchup,prop_type,market_family,market_profile,market_profile_label,side,line,price,proj,diff,diff_abs,diff_ratio,edge_pct,edge_score,model_mae,model_key,min_l5,candidate_basic,micro_line_final,line_min_ok,consistency_joya,main_eligible,radar_only,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hr_text,quality,bucket
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,PF,OTHER,COUNTING_RISK,Conteos de riesgo,UNDER,4.5,1.82,3.3312132358551,-1.1687867641449,1.1687867641449,1.0933458972356407,25.9730392032199,1.09334589723564,1.069,PF,33.7000007629395,True,False,True,False,False,True,4,5,7,10,0.8,0.7,4/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Devin Vassell,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,7.5,1.14,10.160719871521,2.660719871521,2.660719871521,0.9493077891826032,35.4762649536133,0.949307789182602,2.8028,FGA,34.3199996948242,True,False,True,False,False,False,4,5,7,10,0.8,0.7,4/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Miles McBride,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,3.5,2.09,5.92334318161011,2.42334318161011,2.42334318161011,0.8646150926252713,69.2383766174316,0.86461509262527,2.8028,FGA,15.5,True,False,True,False,False,False,4,5,7,10,0.8,0.7,4/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Mikal Bridges,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,6.5,1.1,10.3949861526489,3.89498615264893,3.89498615264893,1.3896768062826208,59.9228638869066,1.38967680628262,2.8028,FGA,33.4400005340576,True,False,True,False,False,False,3,5,8,10,0.6,0.8,3/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Mikal Bridges,NYK,San Antonio Spurs @ New York Knicks,PRA,MAIN,COMBO_TOTAL,Combinadas estadísticas,OVER,13.5,1.3,20.7027797698975,7.20277976989746,7.20277976989746,1.1833248073563654,53.3539242214627,1.18332480735637,6.0869,PRA,33.4400005340576,True,False,True,False,False,False,3,5,8,10,0.6,0.8,3/5 | 8/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,PRA,MAIN,COMBO_TOTAL,Combinadas estadísticas,OVER,27.5,1.4,33.1759033203125,5.6759033203125,5.6759033203125,0.9324784899230314,20.6396484375,0.932478489923031,6.0869,PRA,33.7000007629395,True,False,True,False,False,False,3,5,7,10,0.6,0.7,3/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,PRA,MAIN,COMBO_TOTAL,Combinadas estadísticas,OVER,23.5,1.35,28.913013458252,5.41301345825195,5.41301345825195,0.8892890401110499,23.0340998223487,0.88928904011105,6.0869,PRA,33.5400005340576,True,False,True,False,False,False,3,5,7,10,0.6,0.7,3/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Julian Champagnie,SAS,San Antonio Spurs @ New York Knicks,PR,MAIN,COMBO_TOTAL,Combinadas estadísticas,OVER,12.5,1.51,17.1939678192139,4.69396781921387,4.69396781921387,0.8400386232889276,37.5517425537109,0.840038623288927,5.5878,PR,31.3000003814697,True,False,True,False,False,False,3,5,7,10,0.6,0.7,3/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Josh Hart,NYK,San Antonio Spurs @ New York Knicks,REB,MAIN,COUNTING_STABLE,Conteos estables,UNDER,9.5,1.46,7.91072750091553,-1.58927249908447,1.58927249908447,0.8318620775108453,16.7291842008892,0.831862077510847,1.9105,REB,27.6400005340576,True,False,True,False,False,False,3,5,7,10,0.6,0.7,3/5 | 7/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,Keldon Johnson,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,0.5,1.08,3.1933434009552,2.6933434009552,2.6933434009552,1.518317493069057,538.66868019104,1.51831749306906,1.7739,FGM,14.9,False,True,False,False,False,False,5,5,10,10,1.0,1.0,5/5 | 10/10,DESCARTAR,DESCARTADO
