game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400052,1611661319,LVA,Aces,2024,Regular Season,,200:00,34,70,0.486,9,28,0.321,18,20,0.9,8,25,33,20,10,5,12,18,95,14.0,2026-05-21T18:53:57.567413
1022400052,1611661321,DAL,Wings,2024,Regular Season,,200:00,28,74,0.378,5,25,0.2,20,22,0.909,14,26,40,18,5,4,13,20,81,-14.0,2026-05-21T18:53:57.567413
1022400053,1611661324,MIN,Lynx,2024,Regular Season,,200:00,32,65,0.492,9,23,0.391,13,16,0.813,5,32,37,25,8,5,14,18,86,24.0,2026-05-21T18:53:57.567413
1022400053,1611661320,LAS,Sparks,2024,Regular Season,,200:00,20,77,0.26,4,28,0.143,18,18,1.0,17,27,44,15,6,3,16,20,62,-24.0,2026-05-21T18:53:57.567413
1022400055,1611661313,NYL,Liberty,2024,Regular Season,,200:00,29,74,0.392,9,31,0.29,11,13,0.846,11,33,44,24,6,4,13,15,78,17.0,2026-05-21T18:53:57.567413
1022400055,1611661330,ATL,Dream,2024,Regular Season,,200:00,22,64,0.344,3,21,0.143,14,17,0.824,7,27,34,15,8,4,12,16,61,-17.0,2026-05-21T18:53:57.567413
1022400054,1611661322,WAS,Mystics,2024,Regular Season,,200:00,27,64,0.422,4,17,0.235,13,20,0.65,7,29,36,20,7,7,24,24,71,-8.0,2026-05-21T18:53:57.567413
1022400054,1611661329,CHI,Sky,2024,Regular Season,,200:00,30,79,0.38,1,14,0.071,18,22,0.818,13,27,40,18,14,1,13,21,79,8.0,2026-05-21T18:53:57.567413
1022400059,1611661317,PHO,Mercury,2024,Regular Season,,200:00,29,70,0.414,9,26,0.346,14,18,0.778,10,29,39,18,6,7,14,13,81,1.0,2026-05-21T18:53:57.567413
1022400059,1611661324,MIN,Lynx,2024,Regular Season,,200:00,28,72,0.389,15,34,0.441,9,11,0.818,7,29,36,24,5,5,13,20,80,-1.0,2026-05-21T18:53:57.567413
1022400057,1611661328,SEA,Storm,2024,Regular Season,,200:00,26,72,0.361,6,20,0.3,20,22,0.909,6,37,43,19,7,6,12,16,78,13.0,2026-05-21T18:53:57.567413
1022400057,1611661319,LVA,Aces,2024,Regular Season,,200:00,21,67,0.313,7,26,0.269,16,19,0.842,3,33,36,13,7,10,14,18,65,-13.0,2026-05-21T18:53:57.567413
1022400058,1611661320,LAS,Sparks,2024,Regular Season,,200:00,33,70,0.471,5,20,0.25,10,15,0.667,8,28,36,23,9,4,14,20,81,9.0,2026-05-21T18:53:57.567413
1022400058,1611661321,DAL,Wings,2024,Regular Season,,200:00,29,73,0.397,2,17,0.118,12,13,0.923,9,26,35,14,7,5,14,16,72,-9.0,2026-05-21T18:53:57.567413
1022400056,1611661322,WAS,Mystics,2024,Regular Season,,200:00,31,72,0.431,13,34,0.382,8,13,0.615,9,29,38,22,9,1,15,16,83,-2.0,2026-05-21T18:53:57.567413
1022400056,1611661325,IND,Fever,2024,Regular Season,,200:00,28,62,0.452,16,35,0.457,13,17,0.765,5,25,30,21,9,2,15,21,85,2.0,2026-05-21T18:53:57.567413
1022400060,1611661313,NYL,Liberty,2024,Regular Season,,200:00,31,60,0.517,9,25,0.36,11,13,0.846,0,28,28,27,8,5,11,18,82,7.0,2026-05-21T18:53:57.567413
1022400060,1611661323,CON,Sun,2024,Regular Season,,200:00,29,71,0.408,4,16,0.25,13,17,0.765,11,24,35,17,3,2,13,14,75,-7.0,2026-05-21T18:53:57.567413
1022400061,1611661329,CHI,Sky,2024,Regular Season,,200:00,29,60,0.483,3,11,0.273,19,21,0.905,7,22,29,17,8,2,20,21,80,-9.0,2026-05-21T18:53:57.567413
1022400061,1611661330,ATL,Dream,2024,Regular Season,,200:00,31,68,0.456,6,16,0.375,21,23,0.913,11,20,31,22,14,4,13,20,89,9.0,2026-05-21T18:53:57.567413
1022400062,1611661322,WAS,Mystics,2024,Regular Season,,200:00,33,67,0.493,12,28,0.429,10,12,0.833,4,18,22,26,7,2,12,19,88,-5.0,2026-05-21T18:53:57.567413
1022400062,1611661313,NYL,Liberty,2024,Regular Season,,200:00,31,65,0.477,12,27,0.444,19,20,0.95,13,27,40,24,7,3,21,17,93,5.0,2026-05-21T18:53:57.567413
1022400063,1611661317,PHO,Mercury,2024,Regular Season,,250:00,37,80,0.463,9,33,0.273,14,19,0.737,9,20,29,25,9,5,20,19,97,7.0,2026-05-21T18:53:57.567413
1022400063,1611661321,DAL,Wings,2024,Regular Season,,250:00,37,78,0.474,6,23,0.261,10,14,0.714,9,27,36,25,9,3,21,21,90,-7.0,2026-05-21T18:53:57.567413
1022400065,1611661319,LVA,Aces,2024,Regular Season,,200:00,30,68,0.441,11,26,0.423,21,24,0.875,4,19,23,17,7,6,6,16,92,-4.0,2026-05-21T18:53:57.567413
1022400065,1611661320,LAS,Sparks,2024,Regular Season,,200:00,32,65,0.492,10,25,0.4,22,26,0.846,8,28,36,21,3,6,15,24,96,4.0,2026-05-21T18:53:57.567413
1022400064,1611661328,SEA,Storm,2024,Regular Season,,200:00,26,75,0.347,4,22,0.182,8,13,0.615,14,20,34,12,9,9,13,17,64,-19.0,2026-05-21T18:53:57.567413
1022400064,1611661324,MIN,Lynx,2024,Regular Season,,200:00,27,60,0.45,12,22,0.545,17,21,0.81,6,30,36,25,6,7,16,18,83,19.0,2026-05-21T18:53:57.567413
1022400066,1611661325,IND,Fever,2024,Regular Season,,200:00,25,62,0.403,9,24,0.375,13,19,0.684,7,19,26,19,5,3,11,18,72,-17.0,2026-05-21T18:53:57.567413
1022400066,1611661323,CON,Sun,2024,Regular Season,,200:00,30,65,0.462,8,17,0.471,21,24,0.875,12,29,41,22,9,3,10,19,89,17.0,2026-05-21T18:53:57.567413
1022400068,1611661324,MIN,Lynx,2024,Regular Season,,200:00,37,67,0.552,15,27,0.556,11,17,0.647,4,24,28,34,9,4,9,20,100,14.0,2026-05-21T18:53:57.567413
1022400068,1611661319,LVA,Aces,2024,Regular Season,,200:00,28,62,0.452,10,31,0.323,20,26,0.769,5,30,35,19,4,1,13,19,86,-14.0,2026-05-21T18:53:57.567413
1022400069,1611661328,SEA,Storm,2024,Regular Season,,200:00,37,79,0.468,8,22,0.364,13,18,0.722,13,32,45,20,4,10,9,22,95,16.0,2026-05-21T18:53:57.567413
1022400069,1611661320,LAS,Sparks,2024,Regular Season,,200:00,27,69,0.391,6,20,0.3,19,24,0.792,10,23,33,19,6,6,11,15,79,-16.0,2026-05-21T18:53:57.567413
1022400067,1611661322,WAS,Mystics,2024,Regular Season,,200:00,31,65,0.477,17,31,0.548,8,11,0.727,5,33,38,25,3,3,11,17,87,19.0,2026-05-21T18:53:57.567413
1022400067,1611661330,ATL,Dream,2024,Regular Season,,200:00,24,67,0.358,8,23,0.348,12,18,0.667,8,24,32,16,3,2,8,15,68,-19.0,2026-05-21T18:53:57.567413
