Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,REBOUNDS,4.5,1.68,2.01
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,REBOUNDS,3.5,1.44,2.32
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,REBOUNDS,5.5,1.97,1.62
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,REBOUNDS,6.5,2.37,1.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+REBOUNDS,12.5,1.85,1.82
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+REBOUNDS,13.5,1.95,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+REBOUNDS,10.5,1.53,2.13
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+REBOUNDS,14.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+ASSISTS,8.5,1.89,1.68
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+ASSISTS,9.5,2.11,1.53
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,POINTS+ASSISTS,6.5,1.57,2.05
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,13.5,1.87,1.8
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,14.5,1.96,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,11.5,1.55,2.08
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,15.5,2.07,1.56
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,16.5,2.26,1.46
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,10.5,1.49,2.21
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,PRA,17.5,2.49,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,ASSISTS+REBOUNDS,4.5,1.51,2.17
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,ASSISTS+REBOUNDS,5.5,1.74,1.94
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,ASSISTS+REBOUNDS,6.5,1.99,1.61
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Paul Reed,Detroit Pistons,ASSISTS,0.5,1.66,2.06
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,8.5,1.94,1.74
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,9.5,2.15,1.51
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,6.5,1.54,2.11
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,10.5,2.39,1.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,5.5,1.35,2.62
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,11.5,2.85,1.29
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,REBOUNDS,2.5,2.23,1.48
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,REBOUNDS,1.5,1.52,2.32
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,THREESMADE,1.5,1.5,2.18
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+REBOUNDS,10.5,1.91,1.77
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+REBOUNDS,11.5,2.09,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+REBOUNDS,8.5,1.52,2.13
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+ASSISTS,9.5,1.84,1.83
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+ASSISTS,10.5,2.02,1.59
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,11.5,1.8,1.87
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,12.5,1.94,1.64
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,9.5,1.47,2.24
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,13.5,2.15,1.52
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,8.5,1.34,2.65
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,14.5,2.46,1.39
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS+REBOUNDS,3.5,1.95,1.73
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS,1.5,2.2,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,8.5,1.93,1.75
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,9.5,2.11,1.53
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,6.5,1.46,2.28
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,10.5,2.51,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,11.5,2.92,1.28
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,REBOUNDS,6.5,1.77,1.9
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,REBOUNDS,7.5,2.12,1.53
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS+REBOUNDS,15.5,1.92,1.76
